Emulsifier;EM_Concentration;Timepoint;Donor;Live_Count;Dead_Count;Ratio;;;;;;;;;;;;;;;
RL;0;24;5;9,53;9,09;1,05;;;;;;;;;;;;;;;
CMC;0,005;48;4;9,92;9,68;1,02;;;;;;;;;;;;;;;
CMC;0,05;48;4;9,99;9,76;1,02;;;;;;;;;;;;;;;
CMC;0,5;48;4;10,05;9,67;1,04;;;;;;;;;;;;;;;
CMC;0;48;4;9,91;9,56;1,04;;;;;;;;;;;;;;;
P80;0,005;48;4;9,81;9,74;1,01;;;;;;;;;;;;;;;
P80;0,05;48;4;9,89;9,67;1,02;;;;;;;;;;;;;;;
P80;0,5;48;4;9,87;9,69;1,02;;;;;;;;;;;;;;;
P80;0;48;4;9,91;9,56;1,04;;;;;;;;;;;;;;;
SoyLec;0,005;48;4;9,70;9,67;1,00;;;;;;;;;;;;;;;
SoyLec;0,05;48;4;9,32;9,68;0,96;;;;;;;;;;;;;;;
SoyLec;0,5;48;4;9,24;10,13;0,91;;;;;;;;;;;;;;;
SoyLec;0;48;4;9,91;9,56;1,04;;;;;;;;;;;;;;;
SL;0,005;48;4;9,87;9,77;1,01;;;;;;;;;;;;;;;
SL;0,05;48;4;9,43;9,91;0,95;;;;;;;;;;;;;;;
SL;0,5;48;4;9,22;9,59;0,96;;;;;;;;;;;;;;;
SL;0;48;4;9,91;9,56;1,04;;;;;;;;;;;;;;;
RL;0,005;48;4;9,58;9,80;0,98;;;;;;;;;;;;;;;
RL;0,05;48;4;9,00;9,73;0,92;;;;;;;;;;;;;;;
RL;0,5;48;4;8,77;9,78;0,90;;;;;;;;;;;;;;;
RL;0;48;4;9,91;9,56;1,04;;;;;;;;;;;;;;;
CMC;0,005;48;5;9,81;9,65;1,02;;;;;;;;;;;;;;;
CMC;0,05;48;5;9,81;9,71;1,01;;;;;;;;;;;;;;;
CMC;0,5;48;5;9,88;9,80;1,01;;;;;;;;;;;;;;;
CMC;0;48;5;9,68;9,51;1,02;;;;;;;;;;;;;;;
P80;0,005;48;5;9,84;9,68;1,02;;;;;;;;;;;;;;;
P80;0,05;48;5;9,75;9,57;1,02;;;;;;;;;;;;;;;
P80;0,5;48;5;9,77;9,64;1,01;;;;;;;;;;;;;;;
P80;0;48;5;9,68;9,51;1,02;;;;;;;;;;;;;;;
SoyLec;0,005;48;5;9,70;9,58;1,01;;;;;;;;;;;;;;;
SoyLec;0,05;48;5;8,86;9,50;0,93;;;;;;;;;;;;;;;
SoyLec;0,5;48;5;9,18;9,86;0,93;;;;;;;;;;;;;;;
SoyLec;0;48;5;9,68;9,51;1,02;;;;;;;;;;;;;;;
SL;0,005;48;5;9,80;9,39;1,04;;;;;;;;;;;;;;;
SL;0,05;48;5;9,47;9,65;0,98;;;;;;;;;;;;;;;
SL;0,5;48;5;8,91;9,25;0,96;;;;;;;;;;;;;;;
SL;0;48;5;9,68;9,51;1,02;;;;;;;;;;;;;;;
RL;0,005;48;5;9,43;9,58;0,98;;;;;;;;;;;;;;;
RL;0,05;48;5;9,02;9,37;0,96;;;;;;;;;;;;;;;
RL;0,5;48;5;8,36;9,27;0,90;;;;;;;;;;;;;;;
RL;0;48;5;9,68;9,51;1,02;;;;;;;;;;;;;;;
CMC;0,005;0;6;9,08;9,38;0,97;;;;;;;;;;;;;;;
CMC;0,05;0;6;9,09;9,40;0,97;;;;;;;;;;;;;;;
CMC;0,5;0;6;9,08;9,41;0,97;;;;;;;;;;;;;;;
CMC;0;0;6;9,07;9,41;0,96;;;;;;;;;;;;;;;
P80;0,005;0;6;9,10;9,43;0,96;;;;;;;;;;;;;;;
P80;0,05;0;6;9,25;9,35;0,99;;;;;;;;;;;;;;;
P80;0,5;0;6;9,25;9,31;0,99;;;;;;;;;;;;;;;
P80;0;0;6;9,07;9,41;0,96;;;;;;;;;;;;;;;
SoyLec;0,005;0;6;9,04;9,42;0,96;;;;;;;;;;;;;;;
SoyLec;0,05;0;6;8,83;9,47;0,93;;;;;;;;;;;;;;;
SoyLec;0,5;0;6;9,04;9,40;0,96;;;;;;;;;;;;;;;
SoyLec;0;0;6;9,07;9,41;0,96;;;;;;;;;;;;;;;
SL;0,005;0;6;9,01;9,48;0,95;;;;;;;;;;;;;;;
SL;0,05;0;6;8,48;9,51;0,89;;;;;;;;;;;;;;;
SL;0,5;0;6;7,95;9,52;0,83;;;;;;;;;;;;;;;
SL;0;0;6;9,07;9,41;0,96;;;;;;;;;;;;;;;
RL;0,005;0;6;8,91;9,52;0,94;;;;;;;;;;;;;;;
RL;0,05;0;6;8,45;9,55;0,88;;;;;;;;;;;;;;;
RL;0,5;0;6;7,60;9,51;0,80;;;;;;;;;;;;;;;
RL;0;0;6;9,07;9,41;0,96;;;;;;;;;;;;;;;
CMC;0,005;0;7;9,68;9,05;1,07;;;;;;;;;;;;;;;
CMC;0,05;0;7;9,63;9,01;1,07;;;;;;;;;;;;;;;
CMC;0,5;0;7;9,72;9,12;1,07;;;;;;;;;;;;;;;
CMC;0;0;7;9,62;9,02;1,07;;;;;;;;;;;;;;;
P80;0,005;0;7;9,63;9,09;1,06;;;;;;;;;;;;;;;
P80;0,05;0;7;9,63;9,11;1,06;;;;;;;;;;;;;;;
P80;0,5;0;7;9,62;9,09;1,06;;;;;;;;;;;;;;;
P80;0;0;7;9,62;9,02;1,07;;;;;;;;;;;;;;;
SoyLec;0,005;0;7;9,62;9,09;1,06;;;;;;;;;;;;;;;
SoyLec;0,05;0;7;9,61;9,13;1,05;;;;;;;;;;;;;;;
SoyLec;0,5;0;7;9,64;9,16;1,05;;;;;;;;;;;;;;;
SoyLec;0;0;7;9,62;9,02;1,07;;;;;;;;;;;;;;;
SL;0,005;0;7;9,66;9,08;1,06;;;;;;;;;;;;;;;
SL;0,05;0;7;9,50;9,32;1,02;;;;;;;;;;;;;;;
SL;0,5;0;7;9,16;9,49;0,97;;;;;;;;;;;;;;;
SL;0;0;7;9,62;9,02;1,07;;;;;;;;;;;;;;;
RL;0,005;0;7;9,59;9,13;1,05;;;;;;;;;;;;;;;
RL;0,05;0;7;9,30;9,54;0,97;;;;;;;;;;;;;;;
RL;0,5;0;7;8,80;9,55;0,92;;;;;;;;;;;;;;;
RL;0;0;7;9,62;9,02;1,07;;;;;;;;;;;;;;;
CMC;0,005;24;6;8,79;9,29;0,95;;;;;;;;;;;;;;;
CMC;0,05;24;6;8,86;9,32;0,95;;;;;;;;;;;;;;;
CMC;0,5;24;6;9,01;9,38;0,96;;;;;;;;;;;;;;;
CMC;0;24;6;8,79;9,34;0,94;;;;;;;;;;;;;;;
P80;0,005;24;6;8,88;9,30;0,95;;;;;;;;;;;;;;;
P80;0,05;24;6;8,73;9,25;0,94;;;;;;;;;;;;;;;
P80;0,5;24;6;8,99;9,26;0,97;;;;;;;;;;;;;;;
P80;0;24;6;8,79;9,34;0,94;;;;;;;;;;;;;;;
SoyLec;0,005;24;6;8,87;9,31;0,95;;;;;;;;;;;;;;;
SoyLec;0,05;24;6;8,86;9,36;0,95;;;;;;;;;;;;;;;
SoyLec;0,5;24;6;8,70;9,42;0,92;;;;;;;;;;;;;;;
SoyLec;0;24;6;8,79;9,34;0,94;;;;;;;;;;;;;;;
SL;0,005;24;6;8,89;9,31;0,96;;;;;;;;;;;;;;;
SL;0,05;24;6;8,85;9,27;0,96;;;;;;;;;;;;;;;
SL;0,5;24;6;8,89;8,95;0,99;;;;;;;;;;;;;;;
SL;0;24;6;8,79;9,34;0,94;;;;;;;;;;;;;;;
RL;0,005;24;6;8,78;9,35;0,94;;;;;;;;;;;;;;;
RL;0,05;24;6;8,84;9,24;0,96;;;;;;;;;;;;;;;
RL;0,5;24;6;8,81;9,15;0,96;;;;;;;;;;;;;;;
RL;0;24;6;8,79;9,34;0,94;;;;;;;;;;;;;;;
CMC;0,005;24;7;9,47;9,11;1,04;;;;;;;;;;;;;;;
CMC;0,05;24;7;9,44;9,21;1,03;;;;;;;;;;;;;;;
CMC;0,5;24;7;9,44;9,24;1,02;;;;;;;;;;;;;;;
CMC;0;24;7;9,36;9,19;1,02;;;;;;;;;;;;;;;
P80;0,005;24;7;9,40;9,28;1,01;;;;;;;;;;;;;;;
P80;0,05;24;7;9,34;9,29;1,01;;;;;;;;;;;;;;;
P80;0,5;24;7;9,40;9,24;1,02;;;;;;;;;;;;;;;
P80;0;24;7;9,36;9,19;1,02;;;;;;;;;;;;;;;
SoyLec;0,005;24;7;9,23;9,36;0,99;;;;;;;;;;;;;;;
SoyLec;0,05;24;7;9,06;9,39;0,96;;;;;;;;;;;;;;;
SoyLec;0,5;24;7;9,10;9,49;0,96;;;;;;;;;;;;;;;
SoyLec;0;24;7;9,36;9,19;1,02;;;;;;;;;;;;;;;
SL;0,005;24;7;9,45;9,15;1,03;;;;;;;;;;;;;;;
SL;0,05;24;7;9,12;9,29;0,98;;;;;;;;;;;;;;;
SL;0,5;24;7;8,69;9,38;0,93;;;;;;;;;;;;;;;
SL;0;24;7;9,36;9,19;1,02;;;;;;;;;;;;;;;
RL;0,005;24;7;9,07;9,33;0,97;;;;;;;;;;;;;;;
RL;0,05;24;7;8,85;9,32;0,95;;;;;;;;;;;;;;;
RL;0,5;24;7;8,88;9,19;0,97;;;;;;;;;;;;;;;
RL;0;24;7;9,36;9,19;1,02;;;;;;;;;;;;;;;
CMC;0,005;48;6;8,60;9,12;0,94;;;;;;;;;;;;;;;
CMC;0,05;48;6;8,84;9,28;0,95;;;;;;;;;;;;;;;
CMC;0,5;48;6;8,89;9,40;0,95;;;;;;;;;;;;;;;
CMC;0;48;6;8,84;9,26;0,95;;;;;;;;;;;;;;;
P80;0,005;48;6;8,76;9,25;0,95;;;;;;;;;;;;;;;
P80;0,05;48;6;8,81;9,09;0,97;;;;;;;;;;;;;;;
P80;0,5;48;6;9,21;9,19;1,00;;;;;;;;;;;;;;;
P80;0;48;6;8,84;9,26;0,95;;;;;;;;;;;;;;;
SoyLec;0,005;48;6;8,77;9,26;0,95;;;;;;;;;;;;;;;
SoyLec;0,05;48;6;8,78;9,37;0,94;;;;;;;;;;;;;;;
SoyLec;0,5;48;6;8,59;9,46;0,91;;;;;;;;;;;;;;;
SoyLec;0;48;6;8,84;9,26;0,95;;;;;;;;;;;;;;;
SL;0,005;48;6;8,76;9,27;0,94;;;;;;;;;;;;;;;
SL;0,05;48;6;8,69;9,30;0,93;;;;;;;;;;;;;;;
SL;0,5;48;6;8,65;9,11;0,95;;;;;;;;;;;;;;;
SL;0;48;6;8,84;9,26;0,95;;;;;;;;;;;;;;;
RL;0,005;48;6;8,57;9,34;0,92;;;;;;;;;;;;;;;
RL;0,05;48;6;8,58;9,26;0,93;;;;;;;;;;;;;;;
RL;0,5;48;6;8,41;9,17;0,92;;;;;;;;;;;;;;;
RL;0;48;6;8,84;9,26;0,95;;;;;;;;;;;;;;;
CMC;0,005;48;7;9,45;8,90;1,06;;;;;;;;;;;;;;;
CMC;0,05;48;7;9,52;8,97;1,06;;;;;;;;;;;;;;;
CMC;0,5;48;7;9,62;8,97;1,07;;;;;;;;;;;;;;;
CMC;0;48;7;9,51;8,93;1,07;;;;;;;;;;;;;;;
P80;0,005;48;7;9,51;8,97;1,06;;;;;;;;;;;;;;;
P80;0,05;48;7;9,51;9,11;1,04;;;;;;;;;;;;;;;
P80;0,5;48;7;9,53;9,00;1,06;;;;;;;;;;;;;;;
P80;0;48;7;9,51;8,93;1,07;;;;;;;;;;;;;;;
SoyLec;0,005;48;7;9,46;8,99;1,05;;;;;;;;;;;;;;;
SoyLec;0,05;48;7;9,25;9,21;1,00;;;;;;;;;;;;;;;
SoyLec;0,5;48;7;8,84;9,48;0,93;;;;;;;;;;;;;;;
SoyLec;0;48;7;9,51;8,93;1,07;;;;;;;;;;;;;;;
SL;0,005;48;7;9,47;8,93;1,06;;;;;;;;;;;;;;;
SL;0,05;48;7;9,17;9,24;0,99;;;;;;;;;;;;;;;
SL;0,5;48;7;8,68;9,15;0,95;;;;;;;;;;;;;;;
SL;0;48;7;9,51;8,93;1,07;;;;;;;;;;;;;;;
RL;0,005;48;7;9,16;9,23;0,99;;;;;;;;;;;;;;;
RL;0,05;48;7;8,74;9,15;0,95;;;;;;;;;;;;;;;
RL;0,5;48;7;8,19;9,22;0,89;;;;;;;;;;;;;;;
RL;0;48;7;9,51;8,93;1,07;;;;;;;;;;;;;;;
